"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","Gate length (ns)","CZ error","RZZ error","MEASURE error","Operational"
"50","163.14287294607627","138.72248701688216","0.00634765625","0.007080078125","0.005615234375","1560","0.00028462653015871376","24","0.00028462653015871376","0","0.00028462653015871376","0.00028462653015871376","49:68;51:68","49:0.00580340549779354;51:0.0019893869573967826","49:0.0036909406119823296;51:0.002284981077242121","0.00634765625","Yes"
"51","107.6967849511368","100.3188858279672","0.1199951171875","0.100341796875","0.1396484375","1560","0.00018204005074638348","24","0.00018204005074638348","0","0.00018204005074638348","0.00018204005074638348","50:68;52:68;58:68","50:0.0019893869573967826;52:0.0016333428489980484;58:0.002380104852780396","50:0.002284981077242121;52:0.002623399446030683;58:0.0021985861108256843","0.1199951171875","Yes"
"52","164.85582782424115","134.86675960873072","0.0191650390625","0.025390625","0.012939453125","1560","0.0004093434520881563","24","0.0004093434520881563","0","0.0004093434520881563","0.0004093434520881563","51:68;53:68","51:0.0016333428489980484;53:0.0024189524706750842","51:0.002623399446030683;53:0.0020006968654379675","0.0191650390625","Yes"
"53","177.75075882636838","15.432238607781633","0.14990234375","0.159912109375","0.139892578125","1560","0.0002103886809729485","24","0.0002103886809729485","0","0.0002103886809729485","0.0002103886809729485","39:68;52:68;54:68","39:0.0064091834423312954;52:0.0024189524706750842;54:0.0047185844773550145","39:0.004165870925442072;52:0.0020006968654379675;54:0.008796251677908318","0.14990234375","Yes"
"54","152.02594771237042","92.33926713666156","0.0101318359375","0.01611328125","0.004150390625","1560","0.0007267121579158684","24","0.0007267121579158684","0","0.0007267121579158684","0.0007267121579158684","53:68;55:68","53:0.0047185844773550145;55:0.00307913083291414","53:0.008796251677908318;55:0.005746199081751557","0.0101318359375","Yes"
"55","185.07386536942863","128.05702592773005","0.1123046875","0.125244140625","0.099365234375","1560","0.00044496398240607727","24","0.00044496398240607727","0","0.00044496398240607727","0.00044496398240607727","59:68;54:68","59:0.0026885436384822547;54:0.00307913083291414","59:0.002284373116031163;54:0.005746199081751557","0.1123046875","Yes"
"56","75.34694760573433","83.46047557840298","0.0111083984375","0.013427734375","0.0087890625","1560","0.0003679396683014007","24","0.0003679396683014007","0","0.0003679396683014007","0.0003679396683014007","63:68;43:68","63:0.004803229676354326;43:0.005217206013897663","63:0.005226279523230126;43:0.00498499796867366","0.0111083984375","Yes"
"57","140.9998991760115","73.13200946573555","0.0106201171875","0.017333984375","0.00390625","1560","0.0008127471963657446","24","0.0008127471963657446","0","0.0008127471963657446","0.0008127471963657446","47:68;67:68","47:0.004794795456328521;67:0.008255041735851065","47:0.0023031667258270605;67:0.01044302446631068","0.0106201171875","Yes"
"58","110.82974197141293","80.22506128408432","0.0093994140625","0.016845703125","0.001953125","1560","0.0003062124255309855","24","0.0003062124255309855","0","0.0003062124255309855","0.0003062124255309855","71:68;51:68","71:0.0022546491972459393;51:0.002380104852780396","71:0.0018486010810137288;51:0.0021985861108256843","0.0093994140625","Yes"
"59","180.41232161567942","161.54639435334988","0.0107421875","0.013916015625","0.007568359375","1560","0.00022360676378513404","24","0.00022360676378513404","0","0.00022360676378513404","0.00022360676378513404","55:68;75:68","55:0.0026885436384822547;75:0.0031217782032946506","55:0.002284373116031163;75:0.002504824757647711","0.0107421875","Yes"
"60","230.77173676741705","56.41735334082178","0.046875","0.060302734375","0.033447265625","1560","0.00022534060933786227","24","0.00022534060933786227","0","0.00022534060933786227","0.00022534060933786227","61:68","61:0.0015802636183359364","61:0.0018556081068017427","0.046875","Yes"
"61","195.11770281064895","127.39222851239695","0.0625","0.08154296875","0.049072265625","1560","0.00016563165516930532","24","0.00016563165516930532","0","0.00016563165516930532","0.00016563165516930532","76:68;60:68;62:68","76:0.002275443338556865;60:0.0015802636183359364;62:0.002617161248660016","76:0.0033399509935942984;60:0.0018556081068017427;62:0.0023679576156956095","0.0625","Yes"
